step,train_loss,train_acc,val_loss,val_acc,lr,grad_norm
6600,3.412504,0.365111,,,1.62e-04,1.3956
6625,3.719069,0.325910,,,1.61e-04,1.2570
6650,3.571177,0.339616,,,1.60e-04,1.4250
6675,3.623995,0.337030,,,1.59e-04,1.4971
6700,3.482428,0.358789,,,1.58e-04,1.3558
6725,3.162642,0.396299,,,1.57e-04,1.4254
6750,3.566849,0.340603,,,1.56e-04,1.3487
6775,3.607444,0.336628,,,1.55e-04,1.4728
6800,3.534894,0.347823,,,1.54e-04,1.3361
6825,3.880084,0.292336,,,1.54e-04,1.3259
6850,3.569323,0.340231,,,1.53e-04,1.4066
6875,3.472478,0.358696,,,1.52e-04,1.4661
6900,3.498951,0.348380,,,1.51e-04,1.3507
6925,3.572264,0.351177,,,1.50e-04,1.4846
6950,3.619882,0.337533,,,1.49e-04,1.2665
6975,3.757516,0.322630,,,1.48e-04,1.3489
7000,3.474753,0.351713,3.409057,0.367255,1.47e-04,1.3659
7025,3.492952,0.354022,,,1.47e-04,1.6677
7050,3.828032,0.320267,,,1.46e-04,1.4988
7075,3.813867,0.307092,,,1.45e-04,1.5526
7100,3.392658,0.365324,,,1.44e-04,1.4930
7125,3.609473,0.328917,,,1.43e-04,1.5589
7150,3.418563,0.358932,,,1.42e-04,1.4036
7175,3.668782,0.323507,,,1.41e-04,1.3303
7200,3.593383,0.343335,,,1.40e-04,1.4158
7225,3.634464,0.341184,,,1.40e-04,1.2985
7250,3.155450,0.392163,,,1.39e-04,1.5992
7275,3.461774,0.354097,,,1.38e-04,1.2389
7300,3.807024,0.308230,,,1.37e-04,1.2908
7325,3.319342,0.376918,,,1.36e-04,1.3462
7350,3.719268,0.326692,,,1.35e-04,1.4506
7375,3.500296,0.363412,,,1.34e-04,1.2849
7400,3.489615,0.361561,,,1.34e-04,1.4742
7425,3.733448,0.316391,,,1.33e-04,1.3974
7450,3.474005,0.355172,,,1.32e-04,1.5139
7475,3.277635,0.374915,,,1.31e-04,1.6067
7500,3.589501,0.333846,3.402237,0.368391,1.30e-04,1.4987
7525,3.857522,0.309276,,,1.29e-04,1.3402
7550,3.548337,0.341457,,,1.28e-04,1.3008
7575,3.644353,0.338369,,,1.28e-04,1.9561
7600,3.759761,0.323382,,,1.27e-04,1.3070
7625,3.410819,0.359099,,,1.26e-04,1.4851
7650,3.608889,0.339659,,,1.25e-04,1.4147
7675,3.665415,0.332412,,,1.24e-04,1.3679
7700,3.717902,0.328906,,,1.23e-04,1.5057
7725,3.466329,0.355530,,,1.22e-04,1.7245
7750,3.483063,0.355452,,,1.22e-04,1.2800
7775,3.508834,0.355641,,,1.21e-04,1.3151
7800,3.854586,0.303489,,,1.20e-04,1.3064
7825,3.483484,0.358908,,,1.19e-04,1.4308
7850,3.483643,0.342509,,,1.18e-04,1.3824
7875,3.880801,0.300584,,,1.17e-04,1.4644
7900,3.439869,0.367521,,,1.17e-04,1.3963
7925,3.539038,0.347423,,,1.16e-04,1.5893
7950,3.532856,0.363890,,,1.15e-04,1.3244
7975,3.438614,0.360137,,,1.14e-04,1.3614
8000,3.626976,0.334630,3.282450,0.380924,1.13e-04,1.3752
8025,3.551848,0.338084,,,1.13e-04,1.4808
8050,3.020503,0.410863,,,1.12e-04,1.5796
8075,3.561715,0.335277,,,1.11e-04,1.4387
8100,3.681552,0.334207,,,1.10e-04,1.7017
8125,2.753540,0.465188,,,1.09e-04,1.5617
8150,3.655316,0.333215,,,1.09e-04,1.4076
8175,3.531483,0.340740,,,1.08e-04,1.3418
8200,3.338446,0.368782,,,1.07e-04,1.7498
8225,3.587366,0.341348,,,1.06e-04,1.5053
8250,3.497469,0.352225,,,1.05e-04,1.2457
8275,3.681059,0.333973,,,1.05e-04,1.5686
8300,3.495722,0.357344,,,1.04e-04,1.2853
8325,3.973775,0.290072,,,1.03e-04,1.2570
8350,3.524610,0.350154,,,1.02e-04,1.4273
8375,3.440300,0.355808,,,1.01e-04,1.3975
8400,3.456297,0.373718,,,1.01e-04,1.7430
8425,3.198024,0.396854,,,9.98e-05,1.4750
8450,3.301492,0.378288,,,9.91e-05,1.7015
8475,3.505152,0.367348,,,9.83e-05,1.5211
8500,3.787514,0.313639,3.297045,0.383520,9.75e-05,1.1600
8525,3.304699,0.372689,,,9.68e-05,1.5851
8550,3.582685,0.336523,,,9.60e-05,1.4968
8575,3.627280,0.325297,,,9.52e-05,1.6073
8600,3.283228,0.375842,,,9.45e-05,1.4509
8625,3.298983,0.375261,,,9.37e-05,1.4603
8650,3.221014,0.381547,,,9.30e-05,1.4780
8675,3.205054,0.383924,,,9.22e-05,1.7929
8700,3.576362,0.343275,,,9.15e-05,1.4602
8725,3.381394,0.370912,,,9.08e-05,1.4336
8750,3.125178,0.410132,,,9.00e-05,1.3709
8775,3.482319,0.360724,,,8.93e-05,1.4161
8800,3.617728,0.336474,,,8.86e-05,1.4259
8825,3.596460,0.340263,,,8.78e-05,1.4387
8850,3.301856,0.369543,,,8.71e-05,1.4582
8875,3.563721,0.345044,,,8.64e-05,1.6511
8900,3.295668,0.373343,,,8.57e-05,1.3288
8925,3.283091,0.384967,,,8.50e-05,1.8007
8950,3.634498,0.341304,,,8.43e-05,1.3778
8975,3.620406,0.337166,,,8.35e-05,1.5345
9000,3.529303,0.348498,3.281045,0.384936,8.28e-05,1.3805
9025,3.622630,0.335056,,,8.21e-05,1.7301
9050,3.181688,0.402213,,,8.15e-05,1.4559
9075,3.377116,0.366074,,,8.08e-05,1.3613
9100,3.578875,0.353622,,,8.01e-05,1.9402
9125,3.889766,0.308962,,,7.94e-05,1.5407
9150,3.519929,0.340571,,,7.87e-05,1.4391
9175,3.539246,0.354135,,,7.80e-05,1.6437
9200,3.130397,0.399986,,,7.74e-05,1.3626
9225,3.313020,0.371594,,,7.67e-05,1.6269
9250,3.110296,0.400300,,,7.60e-05,1.4055
9275,3.903695,0.318027,,,7.54e-05,1.4761
9300,3.459703,0.353239,,,7.47e-05,1.2990
9325,3.634657,0.328502,,,7.40e-05,1.6598
9350,3.055191,0.412113,,,7.34e-05,1.5458
9375,3.463594,0.377745,,,7.27e-05,1.4660
9400,3.491241,0.337835,,,7.21e-05,1.7881
9425,3.793388,0.312634,,,7.15e-05,1.6888
9450,3.418528,0.357338,,,7.08e-05,1.6456
9475,3.201868,0.385398,,,7.02e-05,1.4956
9500,3.311437,0.372577,3.233619,0.389105,6.96e-05,1.5357
9525,3.526173,0.342454,,,6.89e-05,1.4673
9550,3.286888,0.383697,,,6.83e-05,1.3509
9575,3.614063,0.331620,,,6.77e-05,1.4003
9600,3.500096,0.345845,,,6.71e-05,1.6382
9625,3.395782,0.371839,,,6.65e-05,1.5503
9650,2.901950,0.426455,,,6.59e-05,1.5454
9675,3.621571,0.342520,,,6.53e-05,1.5745
9700,3.167799,0.390954,,,6.47e-05,1.3911
9725,3.242963,0.391866,,,6.41e-05,1.4654
9750,3.789928,0.300611,,,6.35e-05,1.3879
9775,3.203659,0.391366,,,6.29e-05,1.4005
9800,3.229071,0.394590,,,6.24e-05,1.3497
9825,3.648970,0.327267,,,6.18e-05,1.5681
9850,3.412453,0.359870,,,6.12e-05,1.4426
9875,3.256167,0.379096,,,6.07e-05,1.4196
9900,3.366925,0.364742,,,6.01e-05,1.5136
9925,3.557451,0.340529,,,5.96e-05,1.2921
9950,3.578040,0.333287,,,5.90e-05,1.4959
9975,3.114137,0.401415,,,5.85e-05,1.6503
10000,3.152825,0.392893,3.229489,0.390735,5.79e-05,1.5490
10025,3.493546,0.355503,,,5.74e-05,1.5781
10050,3.228745,0.388391,,,5.69e-05,1.7003
10075,3.250114,0.385211,,,5.63e-05,1.5570
10100,3.624023,0.343163,,,5.58e-05,1.7326
10125,3.514184,0.356128,,,5.53e-05,1.4967
10150,3.169725,0.390849,,,5.48e-05,1.4130
10175,3.347852,0.381543,,,5.43e-05,1.6665
10200,3.701861,0.325288,,,5.38e-05,1.5454
10225,3.248869,0.389660,,,5.33e-05,1.5950
10250,3.543376,0.352411,,,5.28e-05,1.7026
10275,2.923741,0.426695,,,5.23e-05,1.4988
10300,3.528965,0.349010,,,5.18e-05,1.5790
10325,3.522667,0.345670,,,5.13e-05,1.3193
10350,3.640647,0.327714,,,5.08e-05,1.5077
10375,3.154587,0.387742,,,5.04e-05,1.4286
10400,2.986439,0.432701,,,4.99e-05,1.5452
10425,3.459803,0.349623,,,4.95e-05,1.4848
10450,3.490198,0.363580,,,4.90e-05,1.6577
10475,3.462131,0.354212,,,4.85e-05,1.7428
10500,3.521923,0.356734,3.236364,0.390714,4.81e-05,1.5494
10525,3.389328,0.373913,,,4.77e-05,1.3575
10550,3.404702,0.363895,,,4.72e-05,1.3683
10575,3.477111,0.358784,,,4.68e-05,1.5656
10600,3.553511,0.352292,,,4.64e-05,1.6372
10625,3.146278,0.400612,,,4.60e-05,1.6230
10650,3.316985,0.374368,,,4.55e-05,1.9592
10675,3.428698,0.360249,,,4.51e-05,1.5639
10700,3.403123,0.362167,,,4.47e-05,1.4838
10725,3.498055,0.347845,,,4.43e-05,1.5313
10750,3.664922,0.323083,,,4.39e-05,1.4956
10775,3.522246,0.343088,,,4.35e-05,1.4095
10800,3.096997,0.405131,,,4.32e-05,1.6688
10825,3.166647,0.406325,,,4.28e-05,1.5654
10850,3.406593,0.362188,,,4.24e-05,1.6466
10875,3.620277,0.339619,,,4.20e-05,1.5128
10900,3.037575,0.412258,,,4.17e-05,1.6698
